RPS,Lambda on-demand [USD/month],Fargate [USD/month],EC2 [USD/month]
0.0,0.0,17.77,16.56
1.0,2.17,17.77,16.56
2.0,4.34,17.77,16.56
3.0,6.51,17.77,16.56
4.0,8.68,17.77,16.56
5.0,10.85,17.77,16.56
6.0,13.02,17.77,16.56
7.0,15.19,17.77,16.56
8.0,17.36,17.77,16.56
9.0,19.53,17.77,16.56
10.0,21.7,17.77,16.56
11.0,23.869999999999997,17.77,16.56
12.0,26.04,17.77,16.56
13.0,28.21,17.77,16.56
14.0,30.38,17.77,16.56
15.0,32.55,17.77,16.56
16.0,34.72,17.77,16.56
17.0,36.89,17.77,16.56
18.0,39.06,17.77,16.56
19.0,41.23,17.77,16.56
20.0,43.4,17.77,16.56
21.0,45.57,17.77,16.56
22.0,47.739999999999995,17.77,16.56
23.0,49.91,17.77,16.56
24.0,52.08,17.77,16.56
25.0,54.25,17.77,16.56
26.0,56.42,17.77,16.56
27.0,58.589999999999996,17.77,16.56
28.0,60.76,17.77,16.56
29.0,62.93,17.77,16.56
30.0,65.1,17.77,16.56
31.0,67.27,17.77,16.56
32.0,69.44,17.77,16.56
33.0,71.61,17.77,16.56
34.0,73.78,17.77,16.56
35.0,75.95,17.77,16.56
36.0,78.12,17.77,16.56
37.0,80.28999999999999,17.77,16.56
38.0,82.46,17.77,16.56
39.0,84.63,17.77,16.56
40.0,86.8,17.77,16.56
41.0,88.97,17.77,16.56
42.0,91.14,17.77,16.56
43.0,93.31,17.77,16.56
44.0,95.47999999999999,17.77,16.56
45.0,97.64999999999999,17.77,16.56
46.0,99.82,17.77,16.56
47.0,101.99,17.77,16.56
48.0,104.16,17.77,16.56
49.0,106.33,17.77,16.56
50.0,108.5,17.77,16.56
51.0,110.67,17.77,16.56
52.0,112.84,17.77,16.56
53.0,115.00999999999999,17.77,16.56
54.0,117.17999999999999,17.77,16.56
55.0,119.35,17.77,16.56
56.0,121.52,17.77,16.56
57.0,123.69,17.77,16.56
58.0,125.86,17.77,16.56
59.0,128.03,17.77,16.56
60.0,130.2,17.77,16.56
61.0,132.37,17.77,16.56
62.0,134.54,17.77,16.56
63.0,136.71,17.77,16.56
64.0,138.88,17.77,16.56
65.0,141.04999999999998,17.77,16.56
66.0,143.22,17.77,16.56
67.0,145.39,17.77,16.56
68.0,147.56,17.77,16.56
69.0,149.73,17.77,16.56
70.0,151.9,17.77,16.56
71.0,154.07,17.77,16.56
72.0,156.24,17.77,16.56
73.0,158.41,17.77,16.56
74.0,160.57999999999998,17.77,16.56
75.0,162.75,17.77,16.56
76.0,164.92,17.77,16.56
77.0,167.09,17.77,16.56
78.0,169.26,17.77,16.56
79.0,171.43,17.77,16.56
80.0,173.6,17.77,16.56
81.0,175.76999999999998,17.77,16.56
82.0,177.94,17.77,16.56
83.0,180.10999999999999,17.77,16.56
84.0,182.28,17.77,16.56
85.0,184.45,17.77,16.56
86.0,186.62,17.77,16.56
87.0,188.79,17.77,16.56
88.0,190.95999999999998,17.77,16.56
89.0,193.13,17.77,16.56
90.0,195.29999999999998,17.77,16.56
91.0,197.47,17.77,16.56
92.0,199.64,17.77,16.56
93.0,201.81,17.77,16.56
94.0,203.98,17.77,16.56
95.0,206.15,17.77,16.56
96.0,208.32,17.77,16.56
97.0,210.48999999999998,17.77,16.56
98.0,212.66,17.77,16.56
99.0,214.82999999999998,17.77,16.56
100.0,217.0,17.77,16.56
